algorithm,instance_seed,solver_seed,time_budget,schedule_found,day,shift,doctors
Monte Carlo,0,10000,0.1,True,3,day,3D003;2D003;1D001;1D006
Monte Carlo,0,10000,0.1,True,3,night,2D005;1D008;3D002;1D007
Monte Carlo,0,10000,0.1,True,4,morning,2D004;1D010;1D006;1D009
Monte Carlo,0,10000,0.1,True,4,day,3D004;1D002;1D008;2D006
Monte Carlo,0,10000,0.1,True,4,night,2D002;1D003;3D003;3D001
Monte Carlo,0,10000,0.1,True,5,morning,2D003;1D001;1D002;1D007
Monte Carlo,0,10000,0.1,True,5,day,3D001;1D004;1D009;1D008
Monte Carlo,0,10000,0.1,True,5,night,2D001;3D002;1D006;3D003
Monte Carlo,0,10000,0.1,True,6,morning,2D004;1D005;1D007;2D006
Monte Carlo,0,10000,0.1,True,6,day,3D004;3D001;2D003;1D003
Monte Carlo,0,10000,0.1,True,6,night,3D002;1D006;2D002;1D002
Monte Carlo,0,10000,0.1,True,7,morning,2D005;1D009;1D003;3D004
Monte Carlo,0,10000,0.1,True,7,day,3D003;2D001;1D002;2D004
Monte Carlo,0,10000,0.1,True,7,night,3D001;2D006;1D010;2D002
Monte Carlo,0,10000,0.1,True,8,morning,3D002;1D002;1D008;1D004
Monte Carlo,0,10000,0.1,True,8,day,3D003;1D001;1D005;2D005
Monte Carlo,0,10000,0.1,True,8,night,2D003;1D007;1D010;1D006
Monte Carlo,0,10000,0.1,True,9,morning,2D005;3D003;1D008;2D002
Monte Carlo,0,10000,0.1,True,9,day,3D001;3D004;2D004;1D007
Monte Carlo,0,10000,0.1,True,9,night,2D003;1D006;3D002;1D009
Monte Carlo,0,10000,0.1,True,10,morning,2D001;1D001;1D010;1D008
Monte Carlo,0,10000,0.1,True,10,day,3D002;1D004;2D005;1D007
Monte Carlo,0,10000,0.1,True,10,night,3D003;2D006;1D003;1D005
Monte Carlo,0,10000,0.1,True,11,morning,2D004;1D007;1D004;3D001
Monte Carlo,0,10000,0.1,True,11,day,2D002;2D001;1D008;3D003
Monte Carlo,0,10000,0.1,True,11,night,2D005;2D003;1D001;3D004
Monte Carlo,0,10000,0.1,True,12,morning,2D006;1D002;1D007;1D004
Monte Carlo,0,10000,0.1,True,12,day,2D003;2D002;3D001;1D001
Monte Carlo,0,10000,0.1,True,12,night,3D003;1D010;3D002;3D004
Monte Carlo,0,10000,0.1,True,13,morning,2D005;2D001;1D001;3D001
Monte Carlo,0,10000,0.1,True,13,day,3D002;2D006;1D008;1D005
Monte Carlo,0,10000,0.1,True,13,night,2D004;1D003;2D002;1D004
Monte Carlo,0,10000,0.1,True,14,morning,3D003;2D001;3D001;1D010
Monte Carlo,0,10000,0.1,True,14,day,3D004;2D004;1D009;1D008
Monte Carlo,0,10000,0.1,True,14,night,2D003;1D004;1D001;3D002
Monte Carlo,0,10000,0.1,True,15,morning,2D002;1D003;2D001;2D004
Monte Carlo,0,10000,0.1,True,15,day,3D004;3D001;2D003;1D010
Monte Carlo,0,10000,0.1,True,15,night,2D006;1D007;3D003;1D006
Monte Carlo,0,10000,0.1,True,16,morning,2D003;3D001;1D002;2D001
Monte Carlo,0,10000,0.1,True,16,day,3D004;1D003;1D009;2D005
Monte Carlo,0,10000,0.1,True,16,night,2D006;3D003;1D010;2D004
Monte Carlo,0,10000,0.1,True,17,morning,2D001;1D008;1D004;2D002
Monte Carlo,0,10000,0.1,True,17,day,2D003;1D002;1D010;3D002
Monte Carlo,0,10000,0.1,True,17,night,2D004;3D004;1D009;1D005
Monte Carlo,0,10000,0.1,True,18,morning,3D001;1D010;2D003;3D002
Monte Carlo,0,10000,0.1,True,18,day,2D005;1D003;1D009;1D007
Monte Carlo,0,10000,0.1,True,18,night,2D006;1D008;1D004;1D005
Monte Carlo,0,10000,0.1,True,19,morning,2D003;1D007;1D010;2D001
Monte Carlo,0,10000,0.1,True,19,day,3D003;2D006;1D004;1D008
Monte Carlo,0,10000,0.1,True,19,night,3D002;2D005;1D001;3D001
Monte Carlo,0,10000,0.1,True,20,morning,3D004;2D004;1D007;2D002
Monte Carlo,0,10000,0.1,True,20,day,3D001;1D004;1D008;2D005
Monte Carlo,0,10000,0.1,True,20,night,3D003;1D003;1D009;2D006
Monte Carlo,0,10000,0.1,True,21,morning,2D002;2D001;3D004;1D007
Monte Carlo,0,10000,0.1,True,21,day,3D001;2D005;1D004;1D009
Monte Carlo,0,10000,0.1,True,21,night,3D003;1D002;2D004;1D010
Monte Carlo,0,10000,0.1,True,22,morning,2D005;1D005;2D002;3D001
Monte Carlo,0,10000,0.1,True,22,day,2D004;2D003;1D002;2D006
Monte Carlo,0,10000,0.1,True,22,night,3D002;1D004;3D004;1D001
